method,original_slope,original_p_value,slope_reduction,final_slope,final_p_value,site_id,feature
Linear Regression,0.05907165423316404,1.371979001967484e-07,0.9999999999999999,8.288024912270616e-18,0.9999999999999993,911820-22521,mean_temp
Linear Regression,0.06371190638894676,3.694782374641133e-05,1.0,-2.072006228067654e-18,0.9999999999999999,942030-99999,mean_temp
Linear Regression,0.04596218933653779,1.3934971466836446e-06,0.9999999999999999,-5.957017905694506e-18,0.9999999999999994,943740-99999,mean_temp
Linear Regression,0.017751275428065903,0.037786372075769854,0.9999999999999999,-1.036003114033827e-18,0.9999999999999999,946370-99999,mean_temp
None (no significant trend),-0.0072489003463463205,0.23909793330635826,0.0,-0.0072489003463463205,0.23909793330635826,946530-99999,mean_temp
Linear Regression,-0.15773980341908908,1.3288238528868596e-13,0.9999999999999998,2.6936080964879498e-17,0.9999999999999988,471080-99999,dew_point
Linear Regression,-0.11998094037858624,2.6821313135258416e-10,0.9999999999999999,1.7612052938575058e-17,0.9999999999999991,471100-99999,dew_point
Linear Regression,-0.12230573795462063,6.6454415237270915e-12,0.9999999999999999,8.288024912270616e-18,0.9999999999999996,471420-99999,dew_point
Linear Regression,-0.0563504986277491,0.00030943149067419934,1.0,-3.108009342101481e-18,0.9999999999999998,476710-99999,dew_point
Linear Regression,-0.03659006269248644,1.384738198024199e-05,0.9999999999999999,5.957017905694506e-18,0.9999999999999993,478080-99999,dew_point
Linear Regression,0.10577002662109376,2.3944090400777224e-07,0.9999999999999998,2.072006228067654e-17,0.9999999999999991,479300-99999,dew_point
Linear Regression,0.11741363900920762,8.708333379623762e-07,0.9999999999999999,-1.6576049824541233e-17,0.9999999999999993,479810-99999,dew_point
Linear Regression,0.02291696094408736,0.011842040495482322,0.9999999999999997,8.288024912270616e-18,0.9999999999999993,722265-13821,dew_point
None (no significant trend),-0.01175958423979538,0.2639461792376726,0.0,-0.01175958423979538,0.2639461792376726,722860-23119,dew_point
Linear Regression,-0.02869868020388394,0.016232118212476828,1.0,0.0,1.0,724050-13743,dew_point
None (no significant trend),0.06730551031675355,0.11525208295366783,0.0,0.06730551031675355,0.11525208295366783,761600-99999,dew_point
None (no significant trend),0.07489538228662407,0.07362498807058734,0.0,0.07489538228662407,0.07362498807058734,763420-99999,dew_point
Linear Regression,-0.07554137766035636,0.04359474574996561,0.9999999999999998,1.6576049824541233e-17,0.9999999999999997,763820-99999,dew_point
Linear Regression,0.17795089270688094,2.9184838976991698e-08,0.9999999999999999,-1.4504043596473577e-17,0.9999999999999996,764990-99999,dew_point
Linear Regression,0.12558771427241286,2.689471379066737e-18,0.9999999999999996,-6.008818061396196e-17,0.9999999999999958,843900-99999,dew_point
Linear Regression,-0.31233556470315,3.467443763570628e-16,1.0,8.288024912270616e-18,0.9999999999999998,847520-99999,dew_point
Linear Regression,0.06271065803078639,8.88675842270569e-06,0.9999999999999999,-6.216018684202962e-18,0.9999999999999996,911820-22521,dew_point
Linear Regression,0.06347618033971385,7.787949501274747e-05,0.9999999999999999,4.144012456135308e-18,0.9999999999999998,942030-99999,dew_point
Linear Regression,0.05696005578996166,5.957213535961469e-06,1.0,-1.036003114033827e-18,1.0,943740-99999,dew_point
Linear Regression,-0.09907904778227275,5.216412516046404e-13,0.9999999999999999,8.288024912270616e-18,0.9999999999999994,946370-99999,dew_point
Linear Regression,-0.04273714454506224,2.8244828174849724e-07,0.9999999999999999,-6.216018684202962e-18,0.9999999999999993,946530-99999,dew_point
Linear Regression,-0.1469930482381086,2.7024589328180944e-08,0.9999999999999999,8.288024912270616e-18,0.9999999999999998,471080-99999,max_temp
Linear Regression,-0.11258211491382109,2.835532903011564e-06,0.9999999999999998,2.9008087192947154e-17,0.9999999999999989,471100-99999,max_temp
Linear Regression,-0.109556409243681,1.7944495554062258e-08,0.9999999999999999,8.288024912270616e-18,0.9999999999999996,471420-99999,max_temp
Linear Regression,-0.09029048157796539,3.8078171528519194e-07,0.9999999999999999,-1.2432037368405924e-17,0.9999999999999993,476710-99999,max_temp
Linear Regression,-0.06466447441162959,7.353814119507731e-07,1.0,0.0,1.0,478080-99999,max_temp
Linear Regression,0.030648256060068477,0.00313178266041262,0.9999999999999994,-1.8453805468727544e-17,0.9999999999999986,479300-99999,max_temp
Linear Regression,0.016048038288041612,0.049593760668355795,1.0,-2.5900077850845676e-19,1.0,479810-99999,max_temp
None (no significant trend),0.009324561801133873,0.28301801358322304,0.0,0.009324561801133873,0.28301801358322304,722265-13821,max_temp
Linear Regression,0.04123005695111685,1.3012370259206189e-05,1.0,5.180015570169135e-19,1.0,722860-23119,max_temp
None (no significant trend),0.01553389017384229,0.18951316302159935,0.0,0.01553389017384229,0.18951316302159935,724050-13743,max_temp
Linear Regression,0.26548374010228387,1.321126377109568e-11,0.9999999999999999,-3.3152099649082466e-17,0.9999999999999992,761600-99999,max_temp
Linear Regression,0.19791457620907862,7.485203756751775e-06,1.0,-2.072006228067654e-18,1.0,763420-99999,max_temp
Linear Regression,0.13788280786840165,0.002441717014643534,0.9999999999999999,-1.6576049824541233e-17,0.9999999999999998,763820-99999,max_temp
Linear Regression,0.20146571793388748,1.5011173901615393e-08,1.0,-3.108009342101481e-18,1.0,764990-99999,max_temp
Linear Regression,0.11983688344595658,9.42484149581851e-13,1.0,0.0,1.0,843900-99999,max_temp
Linear Regression,-0.02553022333065189,0.03445504636028542,0.9999999999999997,-9.065027247795986e-18,0.9999999999999993,847520-99999,max_temp
Linear Regression,0.060378609048884035,2.4453516581693235e-10,0.9999999999999998,1.4504043596473577e-17,0.9999999999999987,911820-22521,max_temp
Linear Regression,0.0764786704105883,1.0564756577593655e-07,0.9999999999999998,1.6576049824541233e-17,0.999999999999999,942030-99999,max_temp
Linear Regression,0.06204410179287568,4.039060164512756e-10,0.9999999999999998,1.036003114033827e-17,0.9999999999999991,943740-99999,max_temp
Linear Regression,0.0419946606283072,0.00011143575074609285,0.9999999999999994,2.2792068508744195e-17,0.9999999999999982,946370-99999,max_temp
Linear Regression,0.039983667795302984,1.6076235558397058e-05,0.9999999999999999,-4.144012456135308e-18,0.9999999999999996,946530-99999,max_temp
Linear Regression,-0.1086506929716318,3.3139232321296546e-06,1.0,4.144012456135308e-18,0.9999999999999998,471080-99999,min_temp
Linear Regression,-0.10883768732993518,2.283759930362868e-07,0.9999999999999999,1.2432037368405924e-17,0.9999999999999996,471100-99999,min_temp
Linear Regression,-0.09844471624755845,6.750276238341897e-07,0.9999999999999999,8.288024912270616e-18,0.9999999999999997,471420-99999,min_temp
None (no significant trend),-0.010567881665169958,0.44341015482991286,0.0,-0.010567881665169958,0.44341015482991286,476710-99999,min_temp
None (no significant trend),0.0037002757458280554,0.6977807513409818,0.0,0.0037002757458280554,0.6977807513409818,478080-99999,min_temp
Linear Regression,0.1382121272043531,1.1618785478701566e-13,0.9999999999999998,-2.4864074736811848e-17,0.9999999999999987,479300-99999,min_temp
Linear Regression,0.12809204761694593,6.096780533567742e-10,0.9999999999999997,-4.144012456135308e-17,0.9999999999999982,479810-99999,min_temp
None (no significant trend),0.010251261129308284,0.24156988435581897,0.0,0.010251261129308284,0.24156988435581897,722265-13821,min_temp
Linear Regression,-0.02539239126877077,0.015084494913903323,1.0,0.0,1.0,722860-23119,min_temp
Linear Regression,-0.040866524237816886,0.00042792266610824914,0.9999999999999997,1.4504043596473577e-17,0.9999999999999989,724050-13743,min_temp
Linear Regression,0.14770279333139566,3.522899929095523e-05,1.0,-1.036003114033827e-18,1.0,761600-99999,min_temp
Linear Regression,0.09853578055948613,0.003138353426598327,0.9999999999999999,6.216018684202962e-18,0.9999999999999998,763420-99999,min_temp
None (no significant trend),0.08933289221142733,0.1308486860873616,0.0,0.08933289221142733,0.1308486860873616,763820-99999,min_temp
Linear Regression,0.155010809182562,1.787370336406985e-07,0.9999999999999999,1.6576049824541233e-17,0.9999999999999996,764990-99999,min_temp
Linear Regression,0.1669416496940884,3.539554699961762e-18,0.9999999999999998,-2.9008087192947154e-17,0.9999999999999984,843900-99999,min_temp
Linear Regression,-0.09176999444928015,1.2474072854880012e-08,0.9999999999999999,-8.288024912270616e-18,0.9999999999999996,847520-99999,min_temp
Linear Regression,0.06307407125511603,1.4674803430928793e-05,0.9999999999999983,-1.0360031140338269e-16,0.999999999999994,911820-22521,min_temp
Linear Regression,0.053652784156894014,0.0015210622906755209,0.9999999999999997,-1.6576049824541233e-17,0.9999999999999991,942030-99999,min_temp
Linear Regression,0.0487319732314154,3.7522843966674143e-06,0.9999999999999999,-6.216018684202962e-18,0.9999999999999996,943740-99999,min_temp
None (no significant trend),-0.01464794500066446,0.13668620297433143,0.0,-0.01464794500066446,0.13668620297433143,946370-99999,min_temp
Linear Regression,-0.0466058341012755,5.541262367693233e-08,1.0,1.036003114033827e-18,0.9999999999999999,946530-99999,min_temp
None (no significant trend),0.011883558523356607,0.2534714624760692,0.0,0.011883558523356607,0.2534714624760692,471080-99999,sea_level_pressure
Linear Regression,-0.021649777800745194,0.0303491566475842,0.9999999999999856,3.1287294043821574e-16,0.9999999999999747,471100-99999,sea_level_pressure
None (no significant trend),0.009823954928900869,0.5476091160574733,0.0,0.009823954928900869,0.5476091160574733,471420-99999,sea_level_pressure
None (no significant trend),-0.00010870204368144155,0.9224043063825613,0.0,-0.00010870204368144155,0.9224043063825613,476710-99999,sea_level_pressure
None (no significant trend),-0.004973928351648613,0.339697318936671,0.0,-0.004973928351648613,0.339697318936671,478080-99999,sea_level_pressure
None (no significant trend),-0.00470331280913038,0.5097524055290328,0.0,-0.00470331280913038,0.5097524055290328,479300-99999,sea_level_pressure
Linear Regression,0.011689779257689367,1.1741775748672681e-05,0.9999999999999963,4.3123629621658043e-17,0.9999999999999863,479810-99999,sea_level_pressure
Linear Regression,0.015822572953759276,6.917848342484171e-06,0.9999999999999942,9.090927325646832e-17,0.999999999999978,722265-13821,sea_level_pressure
None (no significant trend),0.0035696564632868135,0.16498322448079922,0.0,0.0035696564632868135,0.16498322448079922,722860-23119,sea_level_pressure
Linear Regression,0.026769177396435577,0.0016273223779047254,0.999999999999992,-2.1341664149096835e-16,0.9999999999999793,724050-13743,sea_level_pressure
Linear Regression,-0.03322614445038617,0.018116357656660892,0.9999999999999973,-8.702426157884145e-17,0.999999999999995,761600-99999,sea_level_pressure
None (no significant trend),-0.00866163049729964,0.42179606047045104,0.0,-0.00866163049729964,0.42179606047045104,763420-99999,sea_level_pressure
Linear Regression,-0.08485738599249758,1.0933164144134607e-11,0.9999999999999994,5.076415258765752e-17,0.9999999999999962,763820-99999,sea_level_pressure
Linear Regression,-0.017917805733138253,0.017281647088400874,0.9999999999999948,-9.427628337707825e-17,0.9999999999999898,764990-99999,sea_level_pressure
Linear Regression,-0.04441272856075082,5.45492554362272e-07,0.9999999999999988,-5.1800155701691345e-17,0.9999999999999949,843900-99999,sea_level_pressure
None (no significant trend),7.41932842765059e-05,0.8944034162527206,0.0,7.41932842765059e-05,0.8944034162527206,847520-99999,sea_level_pressure
Polynomial (2nd order),0.009378177524008536,0.003714127593590001,0.999999999999991,-8.469325457226535e-17,0.999999999999978,911820-22521,sea_level_pressure
Linear Regression,-0.051502469204968565,4.373892472338551e-08,0.9999999999999997,-1.6576049824541233e-17,0.9999999999999984,942030-99999,sea_level_pressure
None (no significant trend),-0.02551784206067978,0.13103257810710925,0.0,-0.02551784206067978,0.13103257810710925,943740-99999,sea_level_pressure
Linear Regression,0.019851914024726323,0.04448939244390496,0.9999999999999973,-5.3872161929758995e-17,0.9999999999999956,946370-99999,sea_level_pressure
Linear Regression,0.048771233966131235,1.520961709153389e-13,0.9999999999999999,6.216018684202962e-18,0.9999999999999991,946530-99999,sea_level_pressure
Linear Regression,0.23955338871685367,0.0003245969624213486,0.9999999999999998,6.630419929816493e-17,0.9999999999999991,471080-99999,station_pressure
Linear Regression,-0.27288348265022316,2.5117335081382045e-06,0.9999999999999997,8.702426157884145e-17,0.9999999999999987,471100-99999,station_pressure
Linear Regression,-0.16815612138362435,0.0005683293100000647,0.9999999999999993,1.1810435499985627e-16,0.999999999999998,471420-99999,station_pressure
Linear Regression,-0.22349890271458264,8.56113287940007e-06,0.9999999999999996,-1.0049230206128122e-16,0.9999999999999982,476710-99999,station_pressure
Linear Regression,-0.24118400424386308,8.197922588412228e-06,0.9999999999999999,-1.6576049824541233e-17,0.9999999999999998,478080-99999,station_pressure
Linear Regression,-0.26404437851737195,1.8878181908156087e-06,0.9999999999999998,-5.3872161929758995e-17,0.9999999999999991,479300-99999,station_pressure
Linear Regression,-0.13655230069939817,2.6395350699857354e-06,0.9999999999999996,5.905217749992814e-17,0.9999999999999982,479810-99999,station_pressure
Linear Regression,0.2151973225346771,2.365678014878436e-09,0.9999999999999998,-4.9728149473623695e-17,0.9999999999999988,722265-13821,station_pressure
Linear Regression,-0.24219818424267708,9.089180269629861e-12,0.9999999999999999,-2.4864074736811848e-17,0.9999999999999993,722860-23119,station_pressure
Linear Regression,0.1668106484601968,3.16896224529335e-06,0.9999999999999999,1.6576049824541233e-17,0.9999999999999996,724050-13743,station_pressure
Linear Regression,0.016286959815740885,0.012584438553194719,0.9999999999999968,-5.2836158815725173e-17,0.9999999999999933,761600-99999,station_pressure
Linear Regression,-0.6927417579876963,7.687887291637919e-27,0.9999999999999999,1.0774432385951799e-16,0.999999999999998,763420-99999,station_pressure
Linear Regression,-1.652116122359494,3.606081344587373e-27,0.9999999999999998,3.149449466662834e-16,0.9999999999999976,763820-99999,station_pressure
Linear Regression,0.4618804043601284,8.968585075978649e-27,1.0,2.4864074736811848e-17,0.9999999999999993,764990-99999,station_pressure
Linear Regression,0.12621304575530354,1.975593681520663e-06,0.9999999999999998,2.4864074736811848e-17,0.9999999999999992,843900-99999,station_pressure
Linear Regression,-3.980230707336092,6.294164717552878e-27,1.0,-6.630419929816493e-17,0.9999999999999998,847520-99999,station_pressure
Linear Regression,0.2668925369642963,1.7335304769400113e-10,0.9999999999999996,-1.1603234877178861e-16,0.9999999999999976,911820-22521,station_pressure
None (no significant trend),-0.031824328031343684,0.5204824274214502,0.0,-0.031824328031343684,0.5204824274214502,942030-99999,station_pressure
Linear Regression,0.31072325046326776,9.869040672183609e-14,0.9999999999999994,-1.8233654806995356e-16,0.9999999999999958,943740-99999,station_pressure
Linear Regression,-0.1412205980154757,3.872836838735264e-12,0.9999999999999987,-1.8233654806995356e-16,0.9999999999999917,946370-99999,station_pressure
Linear Regression,0.34129123967477215,2.016012915621097e-14,0.9999999999999997,9.945629894724739e-17,0.9999999999999979,946530-99999,station_pressure
Linear Regression,-0.033981415964920283,2.0965000188945088e-05,1.0,0.0,1.0,471080-99999,visibility
Linear Regression,-0.08992271933577266,1.704465201545145e-24,1.0,0.0,1.0,471100-99999,visibility
Linear Regression,-0.0707736506480285,8.13524285513431e-20,0.9999999999999998,1.2432037368405924e-17,0.9999999999999983,471420-99999,visibility
Linear Regression,-0.06990601430596101,6.03558820503036e-19,1.0,-2.072006228067654e-18,0.9999999999999998,476710-99999,visibility
Linear Regression,-0.055459846593178666,3.645361616095327e-17,1.0,2.072006228067654e-18,0.9999999999999997,478080-99999,visibility
Linear Regression,-0.09491734891682502,4.857601716023723e-14,0.9999999999999999,-8.288024912270616e-18,0.9999999999999993,479300-99999,visibility
Linear Regression,-0.18740716392447584,2.8427044212928333e-07,0.9999999999999999,-1.6576049824541233e-17,0.9999999999999996,479810-99999,visibility
Linear Regression,-0.1425736122741695,0.0001181021580940704,0.9999999999999998,-3.3152099649082466e-17,0.9999999999999993,722265-13821,visibility
Linear Regression,0.031685963904610856,0.021965166081396644,0.9999999999999999,-4.144012456135308e-18,0.9999999999999998,722860-23119,visibility
Linear Regression,-0.04817409524448099,0.006332536217159328,0.9999999999999998,8.9031517612282e-18,0.9999999999999996,724050-13743,visibility
Linear Regression,-0.2587547202642312,0.0002663905933434086,1.0,-6.216018684202962e-18,1.0,761600-99999,visibility
Linear Regression,-0.15321832720864836,5.65971024060285e-09,1.0,5.180015570169135e-18,0.9999999999999998,763420-99999,visibility
None (no significant trend),-0.04611345872606963,0.20139128489824226,0.0,-0.04611345872606963,0.20139128489824226,763820-99999,visibility
Linear Regression,-0.24998838192707726,3.360974269069986e-07,1.0,2.072006228067654e-18,1.0,764990-99999,visibility
None (no significant trend),-0.09812258871816576,0.29975846397465017,0.0,-0.09812258871816576,0.29975846397465017,843900-99999,visibility
Polynomial (2nd order),-0.18276492876126607,5.904548007356718e-13,1.0,6.216018684202962e-18,0.9999999999999998,847520-99999,visibility
Linear Regression,-0.3832913613696637,1.1488252348047749e-05,0.9999999999999999,-2.4864074736811848e-17,0.9999999999999998,911820-22521,visibility
Linear Regression,-0.07945687918493663,0.000918737447617891,0.9999999999999998,1.6576049824541233e-17,0.9999999999999994,942030-99999,visibility
Linear Regression,-0.27398996178202184,6.109082760338413e-05,0.9999999999999998,7.459222421043554e-17,0.9999999999999991,943740-99999,visibility
None (no significant trend),-0.03044144721364914,0.2696362132245951,0.0,-0.03044144721364914,0.2696362132245951,946370-99999,visibility
None (no significant trend),0.032309986123745665,0.15579740991579497,0.0,0.032309986123745665,0.15579740991579497,946530-99999,visibility
Linear Regression,-0.024750941618130747,9.981894436143966e-14,1.0,-5.180015570169135e-19,0.9999999999999998,471080-99999,wind_speed
Linear Regression,-0.011577148692024022,7.070307281650336e-05,0.9999999999999999,1.5540046710507405e-18,0.9999999999999996,471100-99999,wind_speed
Linear Regression,-0.014328034137055086,0.0034326197475909575,0.9999999999999999,1.036003114033827e-18,0.9999999999999998,471420-99999,wind_speed
Linear Regression,0.03462360668395777,3.8671679170436126e-14,1.0,5.180015570169135e-19,0.9999999999999999,476710-99999,wind_speed
Linear Regression,0.012112005341730988,2.2486817992397444e-05,1.0,5.180015570169135e-19,0.9999999999999998,478080-99999,wind_speed
Linear Regression,0.023265615659040676,2.0293674077109523e-05,1.0,-5.180015570169135e-19,1.0,479300-99999,wind_speed
Linear Regression,0.040237945837551733,1.849292112449449e-11,0.9999999999999998,-9.324028026304443e-18,0.9999999999999986,479810-99999,wind_speed
None (no significant trend),-0.00564777179969217,0.23906621095558092,0.0,-0.00564777179969217,0.23906621095558092,722265-13821,wind_speed
None (no significant trend),-0.007200654832650472,0.05473289593834801,0.0,-0.007200654832650472,0.05473289593834801,722860-23119,wind_speed
Linear Regression,0.011682553639881585,0.0004850234622279493,0.9999999999999999,-1.036003114033827e-18,0.9999999999999998,724050-13743,wind_speed
Linear Regression,-0.020282914628018095,0.006083922221810416,0.9999999999999997,6.216018684202962e-18,0.9999999999999993,761600-99999,wind_speed
None (no significant trend),-0.011610060540082873,0.051800353643543906,0.0,-0.011610060540082873,0.051800353643543906,763420-99999,wind_speed
Linear Regression,-0.024326052748080324,0.00012731605079349285,1.0,0.0,1.0,763820-99999,wind_speed
Linear Regression,-0.054864229809613516,3.151883272924661e-13,0.9999999999999998,1.2432037368405924e-17,0.9999999999999984,764990-99999,wind_speed
None (no significant trend),-0.032781272662644266,0.12767059795811325,0.0,-0.032781272662644266,0.12767059795811325,843900-99999,wind_speed
None (no significant trend),0.018050320359079268,0.0596450163890249,0.0,0.018050320359079268,0.0596450163890249,847520-99999,wind_speed
None (no significant trend),-0.0009556543262043402,0.855909898419028,0.0,-0.0009556543262043402,0.855909898419028,911820-22521,wind_speed
None (no significant trend),0.007692990138166848,0.11655748907613477,0.0,0.007692990138166848,0.11655748907613477,942030-99999,wind_speed
Linear Regression,0.014015028759233319,0.009881507308102106,0.9999999999999998,-2.5900077850845673e-18,0.9999999999999996,943740-99999,wind_speed
None (no significant trend),0.0057496459124521,0.11331409387090426,0.0,0.0057496459124521,0.11331409387090426,946370-99999,wind_speed
Linear Regression,0.02311471022438753,1.6955022879423036e-05,0.9999999999999999,-2.072006228067654e-18,0.9999999999999997,946530-99999,wind_speed
Linear Regression,-0.07145693398655863,2.001422519011183e-30,0.9999999999999999,8.288024912270616e-18,0.9999999999999983,471080-99999,max_wind_speed
Linear Regression,-0.024592897985277872,1.8838846957481304e-08,0.9999999999999999,-2.5900077850845673e-18,0.9999999999999996,471100-99999,max_wind_speed
Linear Regression,-0.02605079776558651,1.3713804834101344e-05,0.9999999999999999,2.072006228067654e-18,0.9999999999999998,471420-99999,max_wind_speed
Linear Regression,0.047547597201966336,1.0043577086904779e-13,0.9999999999999999,-3.885011677626851e-18,0.9999999999999994,476710-99999,max_wind_speed
Linear Regression,0.017266376272680916,3.2149845540302094e-09,0.9999999999999998,3.108009342101481e-18,0.9999999999999991,478080-99999,max_wind_speed
Linear Regression,0.016715888437599143,0.009700393044194983,1.0,5.180015570169135e-19,1.0,479300-99999,max_wind_speed
Linear Regression,0.014467856246568983,0.03928952915744442,0.9999999999999998,-3.108009342101481e-18,0.9999999999999997,479810-99999,max_wind_speed
None (no significant trend),-0.010100705444097078,0.12025430588385876,0.0,-0.010100705444097078,0.12025430588385876,722265-13821,max_wind_speed
Linear Regression,-0.02547424626772443,2.809052651490197e-05,0.9999999999999998,6.216018684202962e-18,0.9999999999999991,722860-23119,max_wind_speed
Linear Regression,0.010604017434444439,0.021919168865858294,0.9999999999999998,-2.072006228067654e-18,0.9999999999999996,724050-13743,max_wind_speed
None (no significant trend),0.03224932124938083,0.07532600617178677,0.0,0.03224932124938083,0.07532600617178677,761600-99999,max_wind_speed
None (no significant trend),0.008248261548285566,0.460489992713782,0.0,0.008248261548285566,0.460489992713782,763420-99999,max_wind_speed
None (no significant trend),0.010309743204057812,0.4204293492373621,0.0,0.010309743204057812,0.4204293492373621,763820-99999,max_wind_speed
Linear Regression,-0.09638909502843665,4.4591185055149706e-24,1.0,-2.072006228067654e-18,0.9999999999999998,764990-99999,max_wind_speed
None (no significant trend),-0.04366084167607027,0.09517881151260908,0.0,-0.04366084167607027,0.09517881151260908,843900-99999,max_wind_speed
Linear Regression,0.06612941871817804,0.0011979014229711207,1.0,0.0,1.0,847520-99999,max_wind_speed
None (no significant trend),-0.0095967399977576,0.1696902414882419,0.0,-0.0095967399977576,0.1696902414882419,911820-22521,max_wind_speed
Linear Regression,0.013239486135439514,0.043448311981176845,0.9999999999999999,-2.072006228067654e-18,0.9999999999999998,942030-99999,max_wind_speed
Linear Regression,0.01627297632130159,0.008704859330382094,0.9999999999999999,-2.072006228067654e-18,0.9999999999999998,943740-99999,max_wind_speed
Linear Regression,0.010664538011592846,0.018424623829696982,0.9999999999999996,4.144012456135308e-18,0.9999999999999993,946370-99999,max_wind_speed
Linear Regression,0.028280089035005226,6.519153842370967e-06,0.9999999999999999,3.108009342101481e-18,0.9999999999999996,946530-99999,max_wind_speed
None (no significant trend),0.0,1.0,0.0,0.0,1.0,471080-99999,wind_gust
None (no significant trend),0.0159063005755518,0.06503190763967909,0.0,0.0159063005755518,0.06503190763967909,471100-99999,wind_gust
Linear Regression,-0.05639566059293466,0.0004759115093322409,0.9999999999999999,4.144012456135308e-18,0.9999999999999998,471420-99999,wind_gust
Linear Regression,0.10080931114086368,5.819322977901578e-25,0.9999999999999998,-1.8648056052608886e-17,0.9999999999999978,476710-99999,wind_gust
None (no significant trend),-0.0012042713472035606,0.7739229207958278,0.0,-0.0012042713472035606,0.7739229207958278,478080-99999,wind_gust
Linear Regression,0.07033404711188647,1.0110550989128836e-11,0.9999999999999999,-8.288024912270616e-18,0.9999999999999993,479300-99999,wind_gust
Linear Regression,0.09899106500095121,1.8310556320092743e-08,1.0,-4.144012456135308e-18,0.9999999999999998,479810-99999,wind_gust
Linear Regression,-0.06608626346813677,1.373239921867798e-06,0.9999999999999999,-4.144012456135308e-18,0.9999999999999998,722265-13821,wind_gust
Linear Regression,-0.10993264325234149,4.163032466265338e-19,1.0,-2.072006228067654e-18,0.9999999999999998,722860-23119,wind_gust
Linear Regression,-0.029401641899020708,2.3201608111059588e-11,1.0,0.0,1.0,724050-13743,wind_gust
None (no significant trend),0.0005270915656560577,0.9722585107358745,0.0,0.0005270915656560577,0.9722585107358745,761600-99999,wind_gust
None (no significant trend),-0.006149277995334635,0.761600348533356,0.0,-0.006149277995334635,0.761600348533356,763420-99999,wind_gust
None (no significant trend),0.005913680341935675,0.8286138284874974,0.0,0.005913680341935675,0.8286138284874974,763820-99999,wind_gust
None (no significant trend),2.185319068665104e-19,0.9776069643354156,0.0,2.185319068665104e-19,0.9776069643354156,764990-99999,wind_gust
None (no significant trend),-0.0010704767922089498,0.6872430997109681,0.0,-0.0010704767922089498,0.6872430997109681,843900-99999,wind_gust
None (no significant trend),-0.012777815036384529,0.43918392294996944,0.0,-0.012777815036384529,0.43918392294996944,847520-99999,wind_gust
None (no significant trend),-0.015139139984791524,0.22872705360505832,0.0,-0.015139139984791524,0.22872705360505832,911820-22521,wind_gust
Linear Regression,0.0567070576040179,2.4191756404668234e-14,0.9999999999999999,6.216018684202962e-18,0.9999999999999992,942030-99999,wind_gust
Linear Regression,0.050225959836593094,0.0018822567100024053,0.9999999999999998,-1.2432037368405924e-17,0.9999999999999993,943740-99999,wind_gust
None (no significant trend),0.0017602181584308086,0.5707975900695837,0.0,0.0017602181584308086,0.5707975900695837,946370-99999,wind_gust
None (no significant trend),0.0,1.0,0.0,0.0,1.0,946530-99999,wind_gust
Linear Regression,0.0023726434260550903,1.730643180600266e-13,1.0,-4.856264597033564e-20,0.9999999999999998,471080-99999,precipitation
None (no significant trend),-0.0002213165319352561,0.2623882283030566,0.0,-0.0002213165319352561,0.2623882283030566,471100-99999,precipitation
None (no significant trend),-0.0001617521158109896,0.0642454534020594,0.0,-0.0001617521158109896,0.0642454534020594,471420-99999,precipitation
